category,Question,Good answers include,RK thoughts
Research Strategy,Which cell lines have high dependency for the target of interest for the gene POLR3E?,"Explains where to look in the Depmap database, or other avenues, and how to search","Shouldn't include the database name, more about the question and then where it finds the answer"
Research Strategy,Which indications are the dependent cell lines for the gene POLR3E enriched in? Are there lineages with high selectivity?,,
Research Strategy,Is there a concordance in the variant profile seen in cell lines with that of patients for the gene POLR3E?,,
Research Strategy,Describe associations between expression and variant profiles for the gene POLR3E.,,
Research Strategy,"Have cell lines been used in other studies for the target of interest of the gene POLR3E? If experimental data is available on NCBI GEO, provide those links or analysis within the platform.",,
Patient Stratification,"For the gene POLR3E, identify indications with significant differential expression in cancer vs normal tissue. Is it overexpressed or underexpressed in tumor tissue?",,
Patient Stratification,"Describe the variant profile of tissues where there is significant differential expression for the gene POLR3E. Include details on copy number variations, mutations, etc.",,"Should detail out the ""etc"" portion"
Patient Stratification,Are there specific regions of the protein of the gene POLR3E where mutations occur at a higher frequency?,,
Patient Stratification,"For the gene POLR3E, determine how many of the mutations are pathogenic.",,
Patient Stratification,Are pathogenicity scores of mutations or copy number profiles associated with cancer progression and survival for the gene POLR3E?,,
Market Research,Identify any therapeutic areas or platforms in focus for the gene POLR3E.,"Explain specific areas including CAR-T, TPD",Take out (like xxx) and should make that part of the evaluation of the answer
Market Research,"List molecules in clinical trials for the gene POLR3E, detailing the pharmaceutical companies involved and the latest status of these trials.",Can determine where to search and what answers are most relevant,"This is a data search question, so we should have an idea of what's a good answer"
Market Research,Which indications have drugs already in the market for the gene POLR3E?,Can determine where to search and what answers are most relevant,Also a search question
Market Research,Are there any first in class opportunities for the gene POLR3E?,,
General understanding,How do you determine which genes or proteins to target for a new therapeutic?,"Criteria for target selection (disease relevance, druggability, etc.), data sources (literature, databases, bioinformatics).",
General understanding,What methods can be used to validate a potential biomarker for a specific disease?,"Experimental approaches (ELISA, mass spectrometry), statistical validation (sensitivity, specificity, predictive value).",
General understanding,Explain how pathway analysis can be integrated into drug discovery.,"Bioinformatics tools for pathway analysis, interpretation of pathway perturbations due to drug interactions.",
General understanding,How does phenotypic screening complement genotypic screening in drug discovery?,"Differences in methodologies, advantages of each approach in discovering drug candidates.",
General understanding,What are the main challenges in translating in vitro findings to in vivo models?,"Issues like bioavailability, pharmacokinetics, pharmacodynamics, strategies to overcome these challenges.",
General understanding,Discuss how structural biology can aid in the design of a new drug.,"Role of structural biology in understanding target-drug interactions, techniques like X-ray crystallography, NMR.",
Gene Overview,"Provide a summary of the gene POLR3E, including its functions, mechanisms, and classifications. ",Links to curated online databases such as GeneCards or NCBI and information on how to extract the data,"Break down the questions into individual bits - against functions, mechanisms, classifications. 
Remove mention of the databases, we want to see which ones the LLM pulls up"
Gene Overview,"Summarize the direct or indirect role of the gene POLR3E in cancer, detailing its mechanisms and interactions with other genes.",,
